Data;Serviço;Tipo do Acesso;Acessos;Densidade 100 Domicílios;Densidade 100 Habitantes;Densidade 1000 Habitantes
2000;Banda Larga Fixa;Individual em Serviço;122500;;0,073265;
2001;Banda Larga Fixa;Individual em Serviço;360200;;0,212632;
2002;Banda Larga Fixa;Individual em Serviço;587200;;0,342191;
2003;Banda Larga Fixa;Individual em Serviço;966300;;0,546240;
2004;Banda Larga Fixa;Individual em Serviço;3157500;;1,762981;
01-2005;Banda Larga Fixa;Individual em Serviço;4363800;;2,357778;
01-2006;Banda Larga Fixa;Individual em Serviço;5921911;;3,155575;
01-2007;Banda Larga Fixa;Individual em Serviço;8260540;;4,5114965570629;
01-2008;Banda Larga Fixa;Individual em Serviço;10618609;;5,6176113113348;
01-2009;Banda Larga Fixa;Individual em Serviço;12491817;;6,5388395538001;
01-2010;Banda Larga Fixa;Individual em Serviço;14956750;;7,8453550140181;
01-2011;Banda Larga Fixa;Individual em Serviço;17021367;;8,8505855471271;
01-2012;Banda Larga Fixa;Individual em Serviço;19828739;;10,224495893206;
01-2013;Banda Larga Fixa;Individual em Serviço;22185749;;11,036663723175;
01-2014;Banda Larga Fixa;Individual em Serviço;23968352;;11,821057697672;
01-2015;Banda Larga Fixa;Individual em Serviço;25490708;;12,466868041994;
01-2016;Banda Larga Fixa;Individual em Serviço;26759384;;12,985176434493;
01-2017;Banda Larga Fixa;Individual em Serviço;28907867;;13,920705805954;
01-2018;Banda Larga Fixa;Individual em Serviço;31233004;;14,98022445633;
01-2019;Banda Larga Fixa;Individual em Serviço;32906998;;15,659028406884;
01-2020;Banda Larga Fixa;Individual em Serviço;36344670;;17,16349140688;
01-2021;Banda Larga Fixa;Individual em Serviço;41657433;;19,528358365151;
01-2022;Banda Larga Fixa;Individual em Serviço;45359471;;22,33768830753;
01-2023;Banda Larga Fixa;Individual em Serviço;46875910;;23,084472627818;
1991;Serviço Móvel Especializado;Individual em Serviço;2100;;;
1992;Serviço Móvel Especializado;Individual em Serviço;6210;;;
1993;Serviço Móvel Especializado;Individual em Serviço;7920;;;
1994;Serviço Móvel Especializado;Individual em Serviço;20070;;;
1995;Serviço Móvel Especializado;Individual em Serviço;20800;;;
1996;Serviço Móvel Especializado;Individual em Serviço;21380;;0,054890;
1997;Serviço Móvel Especializado;Individual em Serviço;23840;;0,059392;
1998;Serviço Móvel Especializado;Individual em Serviço;82170;;0,198814;
1999;Serviço Móvel Especializado;Individual em Serviço;193830;;0,455748;
2000;Serviço Móvel Especializado;Individual em Serviço;358620;;0,820452;
2001;Serviço Móvel Especializado;Individual em Serviço;429790;;0,957002;
2002;Serviço Móvel Especializado;Individual em Serviço;429900;;0,932335;
2003;Serviço Móvel Especializado;Individual em Serviço;430000;;0,909283;
2004;Serviço Móvel Especializado;Individual em Serviço;431000;;0,889026;
01-2005;Serviço Móvel Especializado;Individual em Serviço;668640;;1,345893;
01-2006;Serviço Móvel Especializado;Individual em Serviço;927500;;1,823275;
01-2007;Serviço Móvel Especializado;Individual em Serviço;1330500;;2,555704;
01-2008;Serviço Móvel Especializado;Individual em Serviço;1844300;;3,462823;
01-2009;Serviço Móvel Especializado;Individual em Serviço;2508300;;4,606611;
01-2010;Serviço Móvel Especializado;Individual em Serviço;3337100;;6,092187;
01-2011;Serviço Móvel Especializado;Individual em Serviço;4133000;;7,393559;
01-2012;Serviço Móvel Especializado;Individual em Serviço;3868300;;3,036342;
01-2013;Serviço Móvel Especializado;Individual em Serviço;3630003;;2,690884;
01-2014;Serviço Móvel Especializado;Individual em Serviço;2717917;;1,971814;
01-2015;Serviço Móvel Especializado;Individual em Serviço;1620006;;1,182942;
01-2016;Serviço Móvel Especializado;Individual em Serviço;924081;;0,670059;
01-2017;Serviço Móvel Especializado;Individual em Serviço;309749;;0,223086;
01-2018;Serviço Móvel Especializado;Individual em Serviço;17359;;0,028274;
1972;Telefonia Fixa;Individual em Serviço;1300000;;1,300000;
1972;Telefonia Fixa;TUP;10500;;;0,110000
1973;Telefonia Fixa;Individual em Serviço;1500000;;1,500000;
1973;Telefonia Fixa;TUP;13800;;;0,140000
1974;Telefonia Fixa;Individual em Serviço;1700000;;1,600000;
1974;Telefonia Fixa;TUP;14000;;;0,140000
1975;Telefonia Fixa;Individual em Serviço;1900000;;1,800000;
1975;Telefonia Fixa;TUP;18700;;;0,200000
1976;Telefonia Fixa;Individual em Serviço;2400000;;2,200000;
1976;Telefonia Fixa;TUP;24700;;;0,220000
1977;Telefonia Fixa;Individual em Serviço;2900000;;2,600000;
1977;Telefonia Fixa;TUP;29700;;;0,300000
1978;Telefonia Fixa;Individual em Serviço;3700000;;3,200000;
1978;Telefonia Fixa;TUP;38500;;;0,300000
1979;Telefonia Fixa;Individual em Serviço;4200000;;3,500000;
1979;Telefonia Fixa;TUP;46000;;;0,400000
1980;Telefonia Fixa;Individual em Serviço;4800000;;4,000000;
1980;Telefonia Fixa;TUP;53600;;;0,500000
1981;Telefonia Fixa;Individual em Serviço;5300000;;4,400000;
1981;Telefonia Fixa;TUP;60700;;;0,500000
1982;Telefonia Fixa;Individual em Serviço;5700000;;4,600000;
1982;Telefonia Fixa;TUP;69600;;;0,600000
1983;Telefonia Fixa;Individual em Serviço;6200000;;4,900000;
1983;Telefonia Fixa;TUP;77700;;;0,610000
1984;Telefonia Fixa;Individual em Serviço;6700000;;5,200000;
1984;Telefonia Fixa;TUP;94300;;;0,730000
1985;Telefonia Fixa;Individual em Serviço;7200000;;5,500000;
1985;Telefonia Fixa;TUP;106200;;;0,800000
1986;Telefonia Fixa;Individual em Serviço;7400000;;5,500000;
1986;Telefonia Fixa;TUP;149700;;;1,110000
1987;Telefonia Fixa;Individual em Serviço;7900000;;5,800000;
1987;Telefonia Fixa;TUP;181300;;;1,320000
1988;Telefonia Fixa;Individual em Serviço;8400000;;6,000000;
1988;Telefonia Fixa;TUP;209900;;;1,500000
1989;Telefonia Fixa;Individual em Serviço;8800000;;6,200000;
1989;Telefonia Fixa;TUP;230700;;;1,620000
1990;Telefonia Fixa;Individual em Serviço;9400000;;6,500000;
1990;Telefonia Fixa;TUP;239800;;;1,700000
1991;Telefonia Fixa;Individual em Serviço;10100000;;6,900000;
1991;Telefonia Fixa;TUP;233300;;;1,600000
1992;Telefonia Fixa;Individual em Serviço;10800000;;7,200000;
1992;Telefonia Fixa;TUP;258200;;;1,730000
1993;Telefonia Fixa;Individual em Serviço;11500000;;7,600000;
1993;Telefonia Fixa;TUP;278200;;;1,840000
1994;Telefonia Fixa;Individual em Serviço;12300000;;8,000000;
1994;Telefonia Fixa;TUP;342600;;;2,230000
1995;Telefonia Fixa;Individual em Serviço;13300000;;8,500000;
1995;Telefonia Fixa;TUP;367000;;;2,300000
1996;Telefonia Fixa;Individual em Serviço;14800000;;9,400000;
1996;Telefonia Fixa;TUP;428400;;;2,710000
1997;Telefonia Fixa;Individual em Serviço;17000000;;10,600000;
1997;Telefonia Fixa;TUP;520500;;;3,200000
1998;Telefonia Fixa;Individual em Serviço;20000000;;12,400000;
1998;Telefonia Fixa;TUP;589100;;;3,600000
1999;Telefonia Fixa;Individual em Serviço;25000000;;15,100000;
1999;Telefonia Fixa;TUP;740000;;;4,520000
2000;Telefonia Fixa;Individual em Serviço;30900000;;18,600000;
2000;Telefonia Fixa;TUP;909500;;;5,500000
2001;Telefonia Fixa;Individual em Serviço;37400000;;22,100000;
2001;Telefonia Fixa;TUP;1378700;;;8,100000
2002;Telefonia Fixa;Individual em Serviço;38800000;;22,600000;
2002;Telefonia Fixa;TUP;1368200;;;8,000000
2003;Telefonia Fixa;Individual em Serviço;39200000;;22,200000;
2003;Telefonia Fixa;TUP;1318300;;;7,500000
2004;Telefonia Fixa;Individual em Serviço;39600000;;22,100000;
2004;Telefonia Fixa;TUP;1316600;;;7,300000
01-2005;Telefonia Fixa;Individual em Serviço;39800000;;21,500000;
01-2005;Telefonia Fixa;TUP;1274000;;;6,900000
01-2006;Telefonia Fixa;Individual em Serviço;38800000;;20,700000;
01-2006;Telefonia Fixa;TUP;1132807;;;6,036325
01-2007;Telefonia Fixa;Individual em Serviço;38257452;;20,790726713966;
01-2007;Telefonia Fixa;TUP;1141964;;;6,114261
01-2008;Telefonia Fixa;Individual em Serviço;40126816;;21,163451065588;
01-2008;Telefonia Fixa;TUP;1131023;;;6,146460
01-2009;Telefonia Fixa;Individual em Serviço;40372733;;21,082495468354;
01-2009;Telefonia Fixa;TUP;1127146;;;5,944461
01-2010;Telefonia Fixa;Individual em Serviço;41038914;;21,514758673591;
01-2010;Telefonia Fixa;TUP;1102955;;;5,759354
01-2011;Telefonia Fixa;Individual em Serviço;42063689;;21,865295332128;
01-2011;Telefonia Fixa;TUP;1012093;;;5,305700
01-2012;Telefonia Fixa;Individual em Serviço;43356043;;22,364294707466;
01-2012;Telefonia Fixa;TUP;947707;;;4,926314
01-2013;Telefonia Fixa;Individual em Serviço;44006621;;21,891813414557;
01-2013;Telefonia Fixa;TUP;875706;;;4,514495
01-2014;Telefonia Fixa;Individual em Serviço;44128188;;21,759513254859;
01-2014;Telefonia Fixa;TUP;868954;;;4,321804
01-2015;Telefonia Fixa;Individual em Serviço;43409471;;21,229688525521;
01-2015;Telefonia Fixa;TUP;859116;;;4,236282
01-2016;Telefonia Fixa;Individual em Serviço;41171442;;19,975076228058;
01-2016;Telefonia Fixa;TUP;838916;;;4,102631
01-2017;Telefonia Fixa;Individual em Serviço;39545579;;19,043341080305;
01-2017;Telefonia Fixa;TUP;830121;;;4,027483
01-2018;Telefonia Fixa;Individual em Serviço;37483209;;17,977998022973;
01-2018;Telefonia Fixa;TUP;828715;;;3,990712
01-2019;Telefonia Fixa;Individual em Serviço;33510062;;15,946000688803;
01-2019;Telefonia Fixa;TUP;202815;;;0,972758
01-2020;Telefonia Fixa;Individual em Serviço;30459232;;14,384138491068;
01-2021;Telefonia Fixa;Individual em Serviço;28721516;;13,465472529828;
01-2022;Telefonia Fixa;Individual em Serviço;27107329;;13,350345874762;
01-2023;Telefonia Fixa;Individual em Serviço;26046354;;12,827816221823;
1990;Telefonia Móvel;Individual em Serviço;700;;;
1991;Telefonia Móvel;Individual em Serviço;6700;;;
1992;Telefonia Móvel;Individual em Serviço;31700;;;
1993;Telefonia Móvel;Individual em Serviço;191400;;;
1994;Telefonia Móvel;Individual em Serviço;755200;;0,500000;
1995;Telefonia Móvel;Individual em Serviço;1416500;;0,900000;
1996;Telefonia Móvel;Individual em Serviço;2744500;;1,700000;
1997;Telefonia Móvel;Individual em Serviço;4550200;;2,820000;
1998;Telefonia Móvel;Individual em Serviço;7368200;;4,510000;
1999;Telefonia Móvel;Individual em Serviço;15032700;;9,100000;
2000;Telefonia Móvel;Individual em Serviço;23188200;;14,000000;
2001;Telefonia Móvel;Individual em Serviço;28745800;;17,000000;
2002;Telefonia Móvel;Individual em Serviço;34888200;;20,300000;
2003;Telefonia Móvel;Individual em Serviço;46377300;;26,200000;
2004;Telefonia Móvel;Individual em Serviço;65600000;;36,600000;
01-2005;Telefonia Móvel;Individual em Serviço;86210336;;46,806569751257;
01-2006;Telefonia Móvel;Individual em Serviço;99918621;;53,498056615582;
01-2007;Telefonia Móvel;Individual em Serviço;120980103;;65,745733910884;
01-2008;Telefonia Móvel;Individual em Serviço;150641403;;79,446847405577;
01-2009;Telefonia Móvel;Individual em Serviço;173959368;;90,837209171903;
01-2010;Telefonia Móvel;Individual em Serviço;202944033;;106,38944349996;
01-2011;Telefonia Móvel;Individual em Serviço;242231503;;125,91533167337;
01-2012;Telefonia Móvel;Individual em Serviço;261807903;;134,96885576827;
01-2013;Telefonia Móvel;Individual em Serviço;271099799;;134,83340221646;
01-2014;Telefonia Móvel;Individual em Serviço;280728606;;138,42666332175;
01-2015;Telefonia Móvel;Individual em Serviço;257814084;;126,08127135247;
01-2016;Telefonia Móvel;Individual em Serviço;244068949;;118,41450346036;
01-2017;Telefonia Móvel;Individual em Serviço;236488647;;113,8821097155;
01-2018;Telefonia Móvel;Individual em Serviço;229201614;;109,93152062712;
01-2019;Telefonia Móvel;Individual em Serviço;226673581;;96,127514949348;
01-2020;Telefonia Móvel;Individual em Serviço;234067474;;97,203895232247;
01-2021;Telefonia Móvel;Individual em Serviço;254711117;;102,97344609182;
01-2022;Telefonia Móvel;Individual em Serviço;251987984;;104,85722544396;
01-2023;Telefonia Móvel;Individual em Serviço;252388292;;103,67552037375;
1994;TV por Assinatura;Individual em Serviço;400000;1,100000;;
1995;TV por Assinatura;Individual em Serviço;1000000;2,600000;;
1996;TV por Assinatura;Individual em Serviço;1842600;4,700000;;
1997;TV por Assinatura;Individual em Serviço;2455200;6,000000;;
1998;TV por Assinatura;Individual em Serviço;2575500;6,200000;;
1999;TV por Assinatura;Individual em Serviço;2799600;6,500000;;
2000;TV por Assinatura;Individual em Serviço;3426200;7,700000;;
2001;TV por Assinatura;Individual em Serviço;3607000;8,000000;;
2002;TV por Assinatura;Individual em Serviço;3553800;7,700000;;
2003;TV por Assinatura;Individual em Serviço;3596300;7,600000;;
2004;TV por Assinatura;Individual em Serviço;3851100;7,900000;;
01-2005;TV por Assinatura;Individual em Serviço;4176400;8,300000;;
01-2006;TV por Assinatura;Individual em Serviço;4579400;8,900000;;
01-2007;TV por Assinatura;Individual em Serviço;5348600;10,200000;;
01-2008;TV por Assinatura;Individual em Serviço;6320900;11,700000;;
01-2009;TV por Assinatura;Individual em Serviço;7473500;12,870100;;
01-2010;TV por Assinatura;Individual em Serviço;9769000;16,617930;;
01-2011;TV por Assinatura;Individual em Serviço;12744000;21,190026;;
01-2012;TV por Assinatura;Individual em Serviço;16188955;;8,3502556849311;
01-2013;TV por Assinatura;Individual em Serviço;18021187;;8,9659923057649;
01-2014;TV por Assinatura;Individual em Serviço;19569339;;9,6510331400203;
01-2015;TV por Assinatura;Individual em Serviço;19121783;;9,3520136668696;
01-2016;TV por Assinatura;Individual em Serviço;18821275;;9,1314849461488;
01-2017;TV por Assinatura;Individual em Serviço;18124655;;8,7280043902722;
01-2018;TV por Assinatura;Individual em Serviço;17514476;;8,4004337755983;
01-2019;TV por Assinatura;Individual em Serviço;15684362;;7,4635149065208;
01-2020;TV por Assinatura;Individual em Serviço;14828708;;7,0027435201128;
01-2021;TV por Assinatura;Individual em Serviço;16089658;;7,5425820740497;
01-2022;TV por Assinatura;Individual em Serviço;14065008;;6,9264424346331;
01-2023;TV por Assinatura;Individual em Serviço;12508654;;6,1603314612989;
